table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,run_slug,run_label,n_trajectories,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales
10,64.0,32,response_tables/trial_00032_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:1425,source_row:1422,False,2.0,-0.046832845788799204,0.33011356149850396,1.3137444525504294,3.5209169437017773,0.8802292359254443,0.038643642500259555,-0.038643642500259555,0.1965798629062996,10.895561929556335,0.9743411063925327,48.321366402134856,46.42891514126044,0.997847760134049,0.003483183393244682,0.059018500432022857,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
11,70.0,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1446,source_row:1446,True,1.0,2.44056907985464,0.8616516420473371,0.5283506621868285,1.3318458957924935,0.33296147394812337,0.006395784103333433,-0.006395784103333433,0.07997364630510123,4.432589397343308,0.9919591969363769,34.78821755483096,33.99486574067708,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
12,76.0,38,response_tables/trial_00038_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:1523,source_row:10803,False,2.0,-0.2633784886512558,0.3719041142381923,1.0857542248454624,2.599689862235442,0.6499224655588605,0.2598967748525657,-0.2598967748525657,0.5098007207258202,28.25602400103528,0.7911260382009502,45.115038397764515,41.76887975305544,0.49656305388088195,0.8168373387655666,0.9037905392100355,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
13,82.0,41,response_tables/trial_00041_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1709,source_row:1709,True,1.0,0.3031772052717656,0.544083334627967,0.8870941361713419,2.177566436877908,0.544391609219477,0.12682065403534767,-0.12682065403534767,0.3561188762693543,19.738111591451396,0.9335933543034856,54.78713570327037,49.10602191542554,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
14,88.0,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1918,source_row:1918,True,1.0,0.4820884309410758,0.6100018424750789,0.7356744181249716,1.9452308669635576,0.4863077167408894,0.0661501890722088,-0.0661501890722088,0.25719679055580924,14.255293081162009,0.9339126481997463,39.83355717057559,36.55284823289901,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
15,94.0,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1945,source_row:1945,True,1.0,0.6181874849557971,0.4094563117954833,1.323304188843163,3.511760763439358,0.8779401908598395,0.11167847363868066,-0.11167847363868066,0.33418329347632064,18.522318186934026,0.8921166540943536,40.99625460433092,36.572132966437586,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
16,100.0,50,response_tables/trial_00050_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2122,source_row:2122,True,1.0,0.020529538716118623,0.3404624915683848,1.3243651280564888,3.5673644330660883,0.8918411082665221,0.21229617476192628,-0.21229617476192628,0.4607560903145245,25.537694666289624,0.8572173731077937,49.57218472284524,43.218093946220215,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
17,106.0,53,response_tables/trial_00053_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2309,source_row:2309,True,1.0,0.10900874908770675,0.30671970194099873,1.371804022210077,3.8869787780149094,0.9717446945037274,0.03970690784077475,-0.03970690784077475,0.19926592242722976,11.044438459553298,0.8869175663257659,23.672621352603883,22.546313314016434,0.9999999999999998,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
18,112.0,56,response_tables/trial_00056_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2457,source_row:2457,True,1.0,0.13423507044814187,0.4058742804373212,1.24116883553047,3.130780601591267,0.7826951503978168,0.05119248702980971,-0.05119248702980971,0.22625756789510867,12.540467302121378,0.982867068239157,56.760942083396294,48.873901801899386,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
19,118.0,59,response_tables/trial_00059_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:2460,source_row:2457,False,2.0,-0.19656705198883628,0.40881917267690937,0.9994338413268622,2.385826455774969,0.5964566139437423,0.010200841376788398,-0.010200841376788398,0.10099921473352354,5.5979446861767,0.996112812309083,56.099222241129,53.25101621933398,0.995116867319817,0.010265641896695415,0.1013195040290635,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
20,124.0,62,response_tables/trial_00062_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2518,source_row:2518,True,1.0,0.3201853410789681,0.39536469033805755,1.3095157943892084,3.4583938262846714,0.8645984565711679,0.1971160948025468,-0.1971160948025468,0.44397758367123313,24.60773543488762,0.8487018162037079,46.294314203530945,41.75717249140347,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
21,130.0,65,response_tables/trial_00065_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2584,source_row:2584,True,1.0,0.6804498571443673,0.4064511042246846,1.3273783550446727,3.5369119483241795,0.8842279870810449,0.05488506275729913,-0.05488506275729913,0.2342756128095691,12.984872459536248,0.8408187700315167,23.735035451049384,21.83606481676312,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
22,136.0,68,response_tables/trial_00068_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2743,source_row:2743,True,1.0,2.1453548405144147,0.8952206908371372,0.3356047161716763,1.2309272500519115,0.3077318125129779,0.005397268802034214,-0.005397268802034214,0.07346610648478803,4.071904930109384,0.9937096874588722,35.32319674094597,34.135301561681416,0.9999999999999998,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
23,142.0,71,response_tables/trial_00071_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2764,source_row:2764,True,1.0,1.5776235907555929,0.7665694258083472,0.6900794101658876,1.6172672391658085,0.4043168097914521,0.035567800268219533,-0.035567800268219533,0.18859427421907468,10.452955678848467,0.9887105419750828,55.49782286531697,48.53775385317806,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
24,148.0,74,response_tables/trial_00074_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2773,source_row:2773,True,1.0,0.12957732765187302,0.317963935337661,1.357049350966081,3.790949383133553,0.9477373457833882,0.08270247680078673,-0.08270247680078673,0.28758038319883145,15.9393227187361,0.9182203795090085,40.0828988644516,35.38140421060201,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
25,154.0,77,response_tables/trial_00077_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2822,source_row:2822,True,1.0,2.514563861341003,0.8419547495445288,0.6029260694389217,1.3929256526091043,0.34823141315227607,0.013353275034822096,-0.013353275034822096,0.11555637167556836,6.40478422017272,0.9908714169853672,46.0304917885618,44.024604107929584,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
26,160.0,80,response_tables/trial_00080_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2831,source_row:2831,True,1.0,1.3914425083622746,0.7038097148452762,0.8726877583324386,1.8672959888517193,0.46682399721292983,0.04158265215747964,-0.04158265215747964,0.20391824871129027,11.302296555469487,0.9585479960537303,39.11667070750171,35.61944591562941,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
27,166.0,83,response_tables/trial_00083_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:2904,source_row:2904,True,1.0,1.710141703631109,0.8196669042668342,0.5786175546158425,1.4402146834784613,0.3600536708696153,0.01409378449999705,-0.01409378449999705,0.11871724600915004,6.579977658320045,0.9880145273148143,42.24901484983792,40.86806579519415,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
28,172.0,86,response_tables/trial_00086_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3076,source_row:3076,True,1.0,0.2175949946158653,0.31894714364909915,1.3713105454337504,3.880317058646129,0.9700792646615323,0.29690082480324237,-0.29690082480324237,0.544886065891983,30.2006512147596,0.8445823701431385,56.10778569951199,50.483574726751215,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
29,178.0,89,response_tables/trial_00089_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3099,source_row:3099,True,1.0,0.21144033591838252,0.34030080481031505,1.3555973193314879,3.765187346742084,0.941296836685521,0.2073373929699791,-0.2073373929699791,0.4553431595730621,25.237679592303564,0.8151417400667581,43.55377455462099,36.163309276367286,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
30,184.0,92,response_tables/trial_00092_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:3345,source_row:3742,False,2.0,-0.37775576812953204,0.24162865880216486,1.358041056401098,3.7733322988893474,0.9433330747223369,0.3676624602400096,-0.3676624602400096,0.6063517627912115,33.607425933226565,0.82265769771203,58.74534573018739,44.58934233129847,0.555493368200306,0.8355817188221094,0.9141015910838955,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
31,190.0,95,response_tables/trial_00095_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:3389,source_row:966,False,2.0,-0.49332755743375856,0.32133213288301354,1.061169062742869,2.5215555224946313,0.6303888806236578,0.2519071725810485,-0.2519071725810485,0.5019035490819411,27.818318320289976,0.7867839870270608,45.012928109315276,36.811627953655204,0.4766108850326341,0.6637862221835301,0.8147307666852468,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
32,196.0,98,response_tables/trial_00098_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3538,source_row:3538,True,1.0,1.484559462838206,0.6975126510578866,0.9205305974503617,1.9149416318097892,0.4787354079524473,0.029198044395941158,-0.029198044395941158,0.17087435265697762,9.470817936394472,0.983044053284555,36.88484893854475,29.629900727881907,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
33,202.0,101,response_tables/trial_00101_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:3675,source_row:6124,False,2.0,-0.04862692906880284,0.30613262526418805,1.3505519671501631,3.7401267887811644,0.9350316971952911,0.3497489621514081,-0.3497489621514081,0.5913957745464606,32.77848092467261,0.8293789130305272,57.784889662444506,42.251461094052864,0.4758634358593622,1.0054606911215642,1.0027266283098122,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
34,208.0,104,response_tables/trial_00104_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3691,source_row:3691,True,1.0,2.010364187576556,0.7332192411525003,0.8707558314530994,1.7801809478496489,0.4450452369624122,0.04773576541737268,-0.04773576541737268,0.21848516063424692,12.109676765387624,0.9804548278393366,55.17719071100041,48.73256254677041,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
35,214.0,107,response_tables/trial_00107_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:3717,source_row:10506,False,2.0,-0.11332968928888931,0.3353812140873056,1.2250412264327635,3.1904125653822204,0.7976031413455551,0.050077369682082866,-0.050077369682082866,0.2237797347439729,12.403131848987115,0.9488512686109675,39.09524376220466,38.31254746882068,0.873940713717427,0.14446079065293552,0.3800799792845389,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
36,220.0,110,response_tables/trial_00110_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3742,source_row:3742,True,1.0,0.5777859906316962,0.40817923323488564,1.3226242745085512,3.5103106987048815,0.8775776746762204,0.26774585769783144,-0.26774585769783144,0.517441646659632,28.679527102930727,0.797613811658426,46.078141368065445,43.828646645439136,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
37,226.0,113,response_tables/trial_00113_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3934,source_row:3934,True,1.0,0.10458576359161498,0.369893898471667,1.2993728094179882,3.422045445124685,0.8555113612811712,0.04686040240377173,-0.04686040240377173,0.21647263661666738,11.998131362190811,0.9783210534655628,53.81066471887107,48.19782282444595,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
38,232.0,116,response_tables/trial_00116_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3945,source_row:3945,True,1.0,0.13075636745872998,0.29360828547813395,1.3791515880585905,3.9433724866200506,0.9858431216550126,0.04433616887024628,-0.04433616887024628,0.21056155601212267,11.670506020280207,0.9819309274188466,56.237903980184,50.43225630786862,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
39,238.0,119,response_tables/trial_00119_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:3947,source_row:3945,False,3.0,-0.12907899287392866,0.244256946754993,1.379824283093567,3.950156906802235,0.9875392267005587,0.03913371377742514,-0.03913371377742514,0.19782242991487375,10.96443198365743,0.9850438475388233,56.46465795399206,50.56409771710211,0.9984638100053648,0.003192584221630646,0.05650295763613305,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
40,244.0,122,response_tables/trial_00122_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:3951,source_row:3951,True,1.0,0.0442076116565886,0.25987415087426613,1.3860250343599003,3.997829830231496,0.999457457557874,0.0603797665991469,-0.0603797665991469,0.2457229468306672,13.619348111880365,0.9758014654099292,56.685813551433846,49.67009105207915,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
41,250.0,125,response_tables/trial_00125_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:4014,source_row:4014,True,1.0,0.07566228839459654,0.2995358444933667,1.3600304764717697,3.816735150431361,0.9541837876078403,0.11263391412164224,-0.11263391412164224,0.33560976463988984,18.601381243920702,0.8851407575846054,39.58931531895425,37.62037746356026,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
42,256.0,128,response_tables/trial_00128_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:4051,source_row:6354,False,4.0,-0.8839238053017766,0.13660266568475496,1.3402942412888892,3.688262854729406,0.9220657136823515,0.354939709682534,-0.354939709682534,0.5957681677318234,33.020823553399524,0.7886615570071452,53.19780029507803,46.49332976389101,0.5719826797542975,0.7935822644601283,0.890832343631577,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
43,262.0,131,response_tables/trial_00131_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:4079,source_row:4079,True,1.0,0.07817907120158907,0.3621057526002131,1.3054076194146713,3.4559459300950115,0.8639864825237529,0.029849353087106387,-0.029849353087106387,0.17276965325862753,9.575866158400023,0.9361823616117476,26.495406498981282,22.5784445857869,0.9999999999999999,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
