run_slug,run_label,split_key,calibration_mode,n_eval,selected_temperature_by_split,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction
affine_x1000,Affine intercept ridge x1000,table_index,global,768,0.25;0.25,0.9176973210447669,0.9382904857435533,0.020593164698786526,0.6927083333333334,0.5881182662308423,0.4722514631904511
affine_x1000,Affine intercept ridge x1000,trial_id,global,768,0.25;0.25,0.9176973210447668,0.9382904857435532,0.020593164698786526,0.6927083333333334,0.5881182662308424,0.4705904725019559
affine_x1000,Affine intercept ridge x1000,trial_id,scale_specific,768,"0.5:0.25,1.0:0.25,2.0:0.25;0.5:0.25,1.0:0.25,2.0:0.5",0.9176973210447668,0.9373951575561653,0.019697836511398576,0.6927083333333334,0.5772287890192911,0.4712156222084388
affine_x1000,Affine intercept ridge x1000,table_index,scale_specific,768,"0.5:0.25,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.25,2.0:0.5",0.9176973210447666,0.9369422217215261,0.019244900676759286,0.6927083333333334,0.593552617657759,0.4728753492699523
affine_x1000,Affine intercept ridge x1000,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.25,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.25,0.5:axis_edge_parallel:0.25,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9176973210447666,0.9364797626027296,0.018782441557962798,0.6927083333333334,0.5869369090781097,0.4682429148562094
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9358345595810329,0.025070383597764423,0.7083333333333334,0.5929003071492361,0.37679994201062533
origin_scale_conditioned,Origin scale-conditioned,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9343220346493913,0.023557858666122717,0.7083333333333334,0.5989976983018817,0.37147055549536534
origin_scale_conditioned,Origin scale-conditioned,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9107641759832686,0.9342459242596656,0.02348174827639704,0.7083333333333334,0.5953176635014678,0.40996590684010836
origin_scale_conditioned,Origin scale-conditioned,trial_id,global,768,0.25;0.25,0.9107641759832686,0.9325021632270855,0.02173798724381687,0.7083333333333334,0.5675400070810775,0.4919338040461344
origin_scale_conditioned,Origin scale-conditioned,table_index,global,768,0.25;0.25,0.9107641759832686,0.9325021632270852,0.021737987243816703,0.7083333333333334,0.5675400070810775,0.4925921846274631
affine_x1000_intercept0,Affine x1000 intercept=0,table_index,scale_specific,768,"0.5:0.125,1.0:0.25,2.0:1;0.5:0.125,1.0:0.25,2.0:1",0.9019029006310398,0.9196807238263508,0.01777782319531085,0.6380208333333334,0.5356569282914748,0.49515680871459095
affine_x1000_intercept0,Affine x1000 intercept=0,trial_id,scale_specific,768,"0.5:0.125,1.0:0.25,2.0:1;0.5:0.125,1.0:0.125,2.0:1",0.9019029006310398,0.9183593773720613,0.01645647674102126,0.6380208333333334,0.5412014286976848,0.4222421181759154
affine_x1000_intercept0,Affine x1000 intercept=0,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:1,2.0:axis_edge_parallel:0.5;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:1,2.0:axis_edge_parallel:1",0.9019029006310398,0.917692932534217,0.015790031903177144,0.6380208333333334,0.5442140946067637,0.42225276740325823
affine_x1000_intercept0,Affine x1000 intercept=0,table_index,global,768,0.25;0.25,0.9019029006310401,0.9132227668575862,0.011319866226546238,0.6380208333333334,0.5365843496037176,0.47933932870880563
affine_x1000_intercept0,Affine x1000 intercept=0,trial_id,global,768,0.25;0.25,0.9019029006310398,0.9132227668575862,0.011319866226546293,0.6380208333333334,0.5365843496037176,0.4781325386517061
