latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
pyramid_local_field,fold_centered_whitened_pca,zero_static,0x stabilized,2.0,axis_edge_orthogonal,1,0.7548866116291052,0.7548866116291052,1.049160012098521,1.049160012098521,1.0242851224627452,4.223410967675767,2.3392699273037496
pyramid_local_field,fold_zscore_pca,zero_static,0x stabilized,2.0,axis_edge_orthogonal,1,0.6025095853184599,0.6025095853184599,55.4655213543791,55.4655213543791,7.4475177981914955,25.055157641329032,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,2.0,axis_edge_orthogonal,1,0.6123308214736218,0.6123308214736218,0.8745125153380158,0.8745125153380158,0.9351537388782744,3.3293416624519643,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,zero_static,0x stabilized,2.0,axis_edge_orthogonal,1,0.6582323810366866,0.6582323810366866,1.3894376721967046,1.3894376721967046,1.1787441080220527,4.259025800980396,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,2.0,axis_edge_parallel,1,0.19484007823913915,0.19484007823913915,3.5498895421279584,3.5498895421279584,1.8841150554379524,5.2656350069215705,2.3392699273037496
pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,2.0,axis_edge_parallel,1,0.16648424697864875,0.16648424697864875,82.21519791951542,82.21519791951542,9.06725966979635,17.726774140721997,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,2.0,axis_edge_parallel,1,0.22569875970807982,0.22569875970807982,3.570564962201029,3.570564962201029,1.8895938617070678,5.37157428007066,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,2.0,axis_edge_parallel,1,0.47523160498939643,0.47523160498939643,3.1230875145212535,3.1230875145212535,1.7672259375986008,5.546377603877073,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_parallel,1,0.19477520357546058,0.19477520357546058,2.0212088659105496,2.0212088659105496,1.4216922542908326,3.7579169623696695,2.3392699273037496
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_parallel,1,0.08967930538657153,0.08967930538657153,69.13641732543078,69.13641732543078,8.3148311663816,11.1786873350675,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_parallel,1,0.31717528578236537,0.31717528578236537,2.5418256995488155,2.5418256995488155,1.594310415053736,4.6764787597757635,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_parallel,1,0.4106436563657092,0.4106436563657092,2.0782275836878195,2.0782275836878195,1.4416059044301321,3.7929948025389475,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,2.0,axis_edge_parallel,1,-0.6380007170095879,-0.6380007170095879,2.2068565845051333,2.2068565845051333,1.485549253476684,2.30360699971986,2.3392699273037496
pyramid_local_field,fold_zscore_pca,known_eye,known eye,2.0,axis_edge_parallel,1,-0.47873565886656594,-0.47873565886656594,72.28895760027972,72.28895760027972,8.502291314715094,4.256832445516046,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,2.0,axis_edge_parallel,1,-0.6217993927507973,-0.6217993927507973,3.4158595434903347,3.4158595434903347,1.8482044106349098,3.478243038601959,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,known_eye,known eye,2.0,axis_edge_parallel,1,-0.5143369354613848,-0.5143369354613848,3.5183180320598,3.5183180320598,1.8757180044078587,2.3286213950614902,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion,zero-eye model,2.0,axis_edge_parallel,1,-0.12920714027937455,-0.12920714027937455,177.1090364488297,177.1090364488297,13.308231905434685,37.26757079691449,2.3392699273037496
pyramid_local_field,fold_zscore_pca,zero_eye_on_motion,zero-eye model,2.0,axis_edge_parallel,1,-0.20729655265845995,-0.20729655265845995,13306.33961190292,13306.33961190292,115.35310837555666,321.07328384943804,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,2.0,axis_edge_parallel,1,-0.24207097122157817,-0.24207097122157817,178.48967876954634,178.48967876954634,13.360002947961739,37.16541625821907,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion,zero-eye model,2.0,axis_edge_parallel,1,0.2805490095629436,0.2805490095629436,221.3195520034951,221.3195520034951,14.87681256195342,42.96934434287944,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,zero_static,0x stabilized,2.0,axis_edge_parallel,1,0.7548866116291052,0.7548866116291052,1.049160012098521,1.049160012098521,1.0242851224627452,4.223410967675767,2.3392699273037496
